Vendor,Category,Item,Price,Unit,Lead Time,Notes
CoolAir Systems,HVAC,Commercial unit 3500sqft,16500,each,10 weeks,Volume discounts available
TempMaster,HVAC,Commercial unit 3500sqft,15000,each,8 weeks,9% under primary vendor
PowerTech Solutions,Electrical,400A panel,8500,each,6 weeks,
PowerTech Solutions,Electrical,LED fixture,412,each,6 weeks,
FlowMaster Plumbing,Plumbing,Fixture set,2850,set,4 weeks,
RetailFixtures Pro,Fixtures,Wall system,185,lf,8 weeks,
RetailFixtures Pro,Fixtures,Floor fixture,725,each,8 weeks,
RetailFixtures Pro,Fixtures,Mannequin,385,each,8 weeks,
SmartStore Tech,Technology,POS system (3 terminals),12500,system,6 weeks,
SmartStore Tech,Technology,Security camera,875,each,6 weeks,
SmartStore Tech,Technology,Digital display,2150,each,6 weeks,
BuildSmart Design,Design,Design fee 3500sqft,15000,project,4 weeks,
BuildSmart Design,Design,Engineering fee,8500,project,4 weeks,
