store_id,store_type,square_footage,market,completion_date,total_cost,cost_per_sqft,construction,electrical,hvac,plumbing,fixtures,technology,soft_costs,timeline_days,variance_from_budget
Store-50,suburban_standard,3500,Cleveland,2024-06-21,647021,184.86,226457,77642,51761,32351,161755,51761,45291,117,2
Store-51,suburban_standard,3500,Louisville,2024-09-06,597678,170.77,209187,71721,47814,29883,149419,47814,41837,75,2
Store-52,suburban_standard,3500,Columbus,2024-12-17,740420,211.55,259146,88850,59233,37021,185105,59233,51829,90,6
Store-53,suburban_standard,3500,Cincinnati,2024-08-17,670254,191.5,234588,80430,53620,33512,167563,53620,46917,105,10
Store-54,suburban_standard,3500,Cincinnati,2024-08-18,727850,207.96,254747,87342,58228,36392,181962,58228,50949,79,10
Store-55,suburban_standard,3500,Cincinnati,2024-03-24,567923,162.26,198773,68150,45433,28396,141980,45433,39754,79,-3
Store-56,suburban_standard,3500,Louisville,2024-01-16,738004,210.86,258301,88560,59040,36900,184501,59040,51660,101,4
Store-57,suburban_standard,3500,Louisville,2024-10-01,558643,159.61,195525,67037,44691,27932,139660,44691,39105,74,5
Store-58,suburban_standard,3500,Cincinnati,2024-12-21,663187,189.48,232115,79582,53054,33159,165796,53054,46423,120,1
Store-59,suburban_standard,3500,Pittsburgh,2024-08-01,593923,169.69,207873,71270,47513,29696,148480,47513,41574,68,4
Store-60,suburban_standard,3500,Louisville,2024-03-09,610166,174.33,213558,73219,48813,30508,152541,48813,42711,74,10
Store-61,suburban_standard,3500,Louisville,2024-04-26,646429,184.69,226250,77571,51714,32321,161607,51714,45250,118,5
Store-62,suburban_standard,3500,Cincinnati,2024-02-27,730637,208.75,255722,87676,58450,36531,182659,58450,51144,75,9
Store-63,suburban_standard,3500,Cleveland,2024-05-16,636843,181.96,222895,76421,50947,31842,159210,50947,44579,102,-3
Store-64,suburban_standard,3500,Pittsburgh,2024-10-13,642868,183.68,225003,77144,51429,32143,160717,51429,45000,94,-5
Store-65,suburban_standard,3500,Cleveland,2024-09-28,630939,180.27,220828,75712,50475,31546,157734,50475,44165,74,9
Store-66,suburban_standard,3500,Indianapolis,2024-04-26,564129,161.18,197445,67695,45130,28206,141032,45130,39489,88,4
Store-67,suburban_standard,3500,Detroit,2024-07-15,564903,161.4,197716,67788,45192,28245,141225,45192,39543,86,3
Store-68,suburban_standard,3500,Pittsburgh,2024-12-27,694444,198.41,243055,83333,55555,34722,173611,55555,48611,118,-2
Store-69,suburban_standard,3500,Columbus,2024-03-03,683288,195.23,239150,81994,54663,34164,170822,54663,47830,98,6
Store-70,suburban_standard,3500,Cleveland,2024-12-15,727097,207.74,254483,87251,58167,36354,181774,58167,50896,88,-1
Store-71,suburban_standard,3500,Louisville,2024-01-09,613264,175.22,214642,73591,49061,30663,153316,49061,42928,69,1
Store-72,suburban_standard,3500,Louisville,2024-12-06,564638,161.33,197623,67756,45171,28231,141159,45171,39524,82,6
Store-73,suburban_standard,3500,Louisville,2024-08-19,604729,172.78,211655,72567,48378,30236,151182,48378,42331,71,9
Store-74,suburban_standard,3500,Louisville,2024-02-11,717377,204.96,251081,86085,57390,35868,179344,57390,50216,67,4
Store-75,suburban_standard,3500,Indianapolis,2024-08-02,637951,182.27,223282,76554,51036,31897,159487,51036,44656,106,10
Store-76,suburban_standard,3500,Indianapolis,2024-04-10,622355,177.82,217824,74682,49788,31117,155588,49788,43564,63,8
Store-77,suburban_standard,3500,Cleveland,2024-04-08,705603,201.6,246961,84672,56448,35280,176400,56448,49392,72,-2
Store-78,suburban_standard,3500,Columbus,2024-05-22,708587,202.45,248005,85030,56686,35429,177146,56686,49601,106,3
Store-79,suburban_standard,3500,Cleveland,2024-10-06,578606,165.32,202512,69432,46288,28930,144651,46288,40502,75,2
Store-80,suburban_standard,3500,Louisville,2024-12-28,603112,172.32,211089,72373,48248,30155,150778,48248,42217,86,6
Store-81,suburban_standard,3500,Indianapolis,2024-06-18,648653,185.33,227028,77838,51892,32432,162163,51892,45405,94,7
Store-82,suburban_standard,3500,Indianapolis,2024-09-10,578486,165.28,202470,69418,46278,28924,144621,46278,40494,112,0
Store-83,suburban_standard,3500,Detroit,2024-08-03,646753,184.79,226363,77610,51740,32337,161688,51740,45272,68,7
Store-84,suburban_standard,3500,Detroit,2024-01-16,692474,197.85,242365,83096,55397,34623,173118,55397,48473,60,5
Store-85,suburban_standard,3500,Louisville,2024-02-11,589145,168.33,206200,70697,47131,29457,147286,47131,41240,117,1
Store-86,suburban_standard,3500,Columbus,2024-09-27,704128,201.18,246444,84495,56330,35206,176032,56330,49288,80,-5
Store-87,suburban_standard,3500,Cincinnati,2024-09-04,578726,165.35,202554,69447,46298,28936,144681,46298,40510,77,5
Store-88,suburban_standard,3500,Cincinnati,2024-06-06,627587,179.31,219655,75310,50206,31379,156896,50206,43931,100,-5
Store-89,suburban_standard,3500,Louisville,2024-12-09,566126,161.75,198144,67935,45290,28306,141531,45290,39628,68,6
Store-90,suburban_standard,3500,Columbus,2024-08-22,589937,168.55,206477,70792,47194,29496,147484,47194,41295,96,4
